500 1004
1 96 1911
1 203 671
1 396 879
1 416 1253
2 169 563
2 245 798
2 253 847
2 265 881
2 293 887
2 354 1999
2 368 1799
3 136 1708
4 31 473
4 300 1129
4 464 908
5 302 1511
5 412 1981
6 40 135
6 62 562
6 272 1717
6 445 316
7 52 3
7 65 104
7 80 1626
7 112 1989
7 125 289
7 192 1283
7 411 1381
8 54 1139
8 217 1826
8 326 1913
9 262 1216
9 284 1793
10 302 1726
10 359 835
11 207 1050
11 248 1974
11 273 1418
11 339 1309
11 466 1194
12 295 1143
13 228 678
13 265 6
13 280 548
13 302 1399
13 316 1271
14 103 1594
14 217 1917
14 366 343
14 468 408
14 472 1459
15 40 1604
15 70 942
15 138 348
15 290 1142
15 299 564
16 169 117
16 374 433
17 69 1105
17 83 1342
17 85 590
17 264 1380
17 284 156
17 434 203
17 453 776
17 466 1853
18 45 1738
18 69 1229
18 299 1585
18 324 215
18 363 852
18 372 225
18 451 531
18 480 65
19 85 889
19 119 1497
19 201 1303
19 311 1428
20 183 958
21 36 1663
21 92 1102
21 138 1262
21 270 621
21 271 770
22 222 736
22 329 9
22 379 1546
22 397 34
23 50 1473
23 175 1710
23 202 1894
24 201 807
24 222 1686
24 314 1142
24 329 1216
24 353 1202
25 60 230
25 67 648
25 84 471
25 90 376
25 398 441
25 422 1564
25 444 1093
25 455 427
26 230 1399
26 279 1218
26 345 1077
27 353 735
27 421 1753
28 391 1531
29 185 1939
29 285 1186
29 312 1065
30 268 1188
30 382 688
30 455 1693
31 141 324
31 151 1258
31 220 1287
31 438 295
32 232 158
32 367 910
33 67 114
33 169 154
33 278 1090
34 49 1110
34 98 1083
34 104 879
34 109 1377
34 110 1416
34 269 590
34 329 145
34 400 1533
34 453 1194
34 458 463
34 464 615
35 264 455
35 316 221
36 97 554
36 321 1839
36 473 290
37 163 1766
37 183 126
37 326 897
37 365 291
37 387 164
37 401 1712
38 298 1545
38 493 233
39 54 860
39 185 1641
39 295 1471
39 455 443
40 248 728
40 462 811
40 482 1256
41 168 1384
41 190 151
41 250 621
41 314 1207
41 332 1530
41 368 296
42 58 1810
42 87 911
42 318 1522
43 268 980
43 430 640
44 51 1688
44 60 127
44 268 1240
44 279 113
44 451 47
45 107 60
45 241 1298
45 286 1691
46 69 1665
46 439 227
46 445 1993
47 140 1820
47 394 409
48 60 649
48 259 1437
48 319 1586
48 422 1969
48 423 1285
49 160 1689
50 52 102
50 392 1301
50 477 196
51 219 1355
52 70 1596
52 263 1304
53 98 1982
53 362 140
54 60 1120
54 135 1817
54 296 1968
54 349 1778
54 382 139
54 397 247
55 70 122
55 255 1985
55 268 333
55 270 464
55 442 481
55 485 730
56 72 1884
56 135 675
56 284 1871
56 404 1919
57 173 1795
57 304 98
57 314 1106
57 357 662
57 383 1805
57 457 1855
58 62 1250
59 130 1090
59 427 465
59 497 480
60 242 1125
60 363 343
60 409 733
60 426 485
61 72 1576
62 76 1472
62 104 1347
62 271 100
62 324 184
62 381 385
62 423 1824
62 471 1548
63 132 1762
63 217 1695
63 226 1264
63 231 1482
63 267 1814
63 306 1485
63 368 930
64 165 1255
64 271 1603
64 351 1371
64 394 1317
65 109 551
65 408 1234
65 423 8
66 75 1507
66 215 244
66 308 1864
66 453 303
67 358 1567
68 143 391
68 290 1532
68 478 1242
68 483 392
69 148 1897
69 433 867
70 300 837
71 202 285
71 220 1351
71 223 1101
71 431 1545
72 298 890
72 399 1094
72 468 297
73 82 402
73 259 1946
73 269 583
73 313 486
73 403 1205
73 426 1637
74 274 1988
74 294 356
74 348 475
75 342 1753
76 79 1377
76 102 572
76 142 932
76 263 1062
76 354 1639
77 203 1313
77 251 1516
77 270 394
77 272 391
77 310 1067
78 260 1916
78 347 1071
78 486 1178
79 126 1197
79 209 1867
80 201 1021
80 324 1866
80 332 1658
80 423 1054
80 444 1015
81 156 1202
81 307 735
81 326 600
81 361 795
82 290 645
82 413 457
83 97 1820
83 109 373
83 170 943
83 198 1031
83 257 144
83 313 680
83 425 924
84 250 1497
85 130 1635
85 330 1586
85 350 561
85 388 1411
85 437 769
86 132 874
86 273 1944
86 464 1376
87 102 504
87 145 1933
87 385 1444
87 435 557
88 242 362
88 277 42
88 346 441
88 456 1777
88 465 1110
88 467 820
89 153 1799
90 157 1692
90 242 1440
90 282 889
91 291 1128
91 342 1075
91 423 374
91 474 1961
92 329 9
93 463 299
94 112 108
94 312 984
94 329 1158
94 401 379
94 435 1340
94 442 212
95 180 512
95 448 386
96 99 1917
97 142 532
97 275 362
97 297 50
98 257 1356
98 306 564
99 320 1676
100 220 1651
100 254 339
100 264 987
100 358 237
100 458 417
100 463 670
101 303 1850
102 187 162
102 330 411
103 421 1880
103 491 370
103 498 947
104 199 377
105 165 1290
105 226 1060
105 275 1190
105 294 1651
105 323 1354
105 376 1777
105 446 1630
106 260 704
106 264 1179
106 298 885
106 409 1907
107 276 1739
107 457 1901
108 123 1682
108 371 936
108 396 991
108 476 1107
108 498 1079
109 114 1285
109 166 893
109 264 496
109 470 239
109 480 1713
110 175 115
110 370 608
110 423 1236
110 483 1884
111 190 362
111 195 541
112 129 704
113 270 1308
113 381 706
113 423 990
114 214 645
114 425 644
114 448 1591
115 298 1812
115 448 1782
116 179 194
116 229 897
116 371 1251
117 412 1908
118 166 1979
118 195 1077
118 217 1577
118 337 943
118 412 454
119 316 1451
119 365 784
119 419 954
119 449 1010
120 121 939
120 148 857
120 227 576
120 323 1433
120 370 1316
121 260 391
121 277 1010
121 332 1077
121 419 49
121 442 649
121 464 1669
122 453 1114
123 223 1093
123 275 1589
123 407 371
123 456 1992
123 489 1160
124 364 382
124 425 384
125 372 46
125 449 1236
127 147 1218
127 248 1921
127 376 1100
127 495 36
128 191 1507
128 214 514
128 220 464
128 240 1987
128 255 157
128 313 1293
128 494 665
129 321 429
129 367 1827
129 442 1228
130 253 1478
130 277 1763
130 391 844
131 184 1611
131 274 636
131 285 1256
131 434 1313
132 448 81
132 492 391
133 286 1376
133 327 628
133 359 799
134 239 705
134 446 411
135 141 1297
136 155 1430
137 303 1243
138 272 1018
139 225 673
139 232 708
139 347 1417
140 188 1977
140 189 54
140 207 1310
140 275 1100
140 462 944
140 485 1159
141 438 806
142 285 1756
143 376 1655
143 465 1641
144 155 377
144 191 1583
144 254 1517
144 279 1067
144 483 426
145 309 700
146 206 1738
146 261 545
146 394 1311
147 201 1222
148 255 695
148 275 1632
148 382 1556
148 450 1553
149 484 1869
150 179 1380
150 227 1930
150 266 361
150 362 1220
150 381 1428
151 233 1061
151 290 1880
151 310 1090
151 315 1945
151 342 1167
151 483 505
152 170 171
152 266 346
153 362 1806
153 453 1861
153 491 984
154 179 1400
154 271 427
154 439 364
154 472 1044
155 164 379
155 240 483
155 404 944
155 411 960
155 437 280
155 485 1404
156 250 718
156 266 1537
156 297 193
156 414 1480
156 478 560
157 200 557
157 224 1624
157 294 94
157 462 375
158 165 1749
158 182 581
158 196 1250
158 325 1060
158 397 872
159 373 1771
159 400 1163
159 438 856
160 169 461
160 204 672
160 331 286
160 374 899
160 394 176
160 424 256
161 235 1061
161 411 1254
162 421 497
163 168 1303
163 175 1564
163 350 942
164 330 1757
164 427 865
164 433 423
164 473 1887
164 477 1616
165 240 1898
165 242 630
165 254 570
165 348 273
165 406 1962
165 441 1071
165 446 1873
166 308 1009
166 367 997
166 373 1216
166 447 1357
167 378 895
168 210 1175
169 356 1515
169 488 1917
170 234 1876
170 377 885
171 198 1276
171 312 1920
172 325 983
172 355 1261
173 415 234
173 441 39
174 256 836
176 293 328
176 399 390
176 441 462
177 182 1369
177 260 417
177 333 375
178 357 809
178 426 113
178 499 1594
179 225 1410
179 351 469
179 393 1684
179 435 1067
180 285 1827
180 396 1598
180 444 1117
181 354 1212
182 310 1357
182 429 1879
183 198 1509
183 343 530
183 359 1923
183 414 708
184 202 166
184 223 903
184 282 1756
184 296 1190
184 372 805
184 399 364
184 410 1451
184 442 1605
185 276 1687
185 305 1303
185 359 445
185 416 1491
186 339 652
186 395 1963
186 442 1556
187 308 736
187 375 1676
187 380 256
187 413 1640
188 294 734
188 484 23
188 499 900
189 326 329
189 423 1862
190 227 956
190 278 1008
190 434 1962
190 496 504
191 415 653
191 470 1725
191 483 1464
192 335 1122
192 432 1505
193 404 341
193 474 1549
194 221 1697
194 285 152
194 335 278
195 235 1784
195 336 327
195 379 560
196 247 1660
196 311 1783
196 341 1135
196 345 1649
197 217 770
197 256 1389
197 292 202
197 328 995
197 402 567
198 391 1877
198 405 1359
198 475 235
199 245 1689
199 414 30
200 290 291
200 315 362
200 319 1971
200 321 1411
200 360 834
200 455 1532
201 352 1410
201 407 974
201 424 769
201 466 47
202 434 1843
205 305 956
206 288 319
207 237 1151
207 256 883
207 390 1048
208 210 334
208 384 1114
208 472 385
209 383 835
210 295 529
210 423 1909
210 429 851
210 452 414
211 305 956
211 306 1349
212 261 1575
212 379 1486
213 488 8
214 355 1695
214 405 1463
215 259 1027
215 444 1536
215 461 325
216 225 538
216 437 1199
217 263 1156
217 362 1997
218 467 1305
218 499 625
219 220 462
219 258 1100
219 281 836
219 419 690
220 386 367
220 446 207
221 288 692
221 297 423
221 350 1570
221 377 1815
222 352 1931
222 484 1456
223 334 7
223 396 456
223 436 1453
224 364 994
225 315 8
226 255 511
226 315 290
227 233 301
227 367 1309
228 283 42
228 349 1855
228 374 183
229 323 1845
229 352 1327
229 354 108
229 433 1663
232 247 1595
232 459 1500
234 306 1710
234 445 855
235 440 1212
235 458 235
235 468 467
236 280 135
236 321 501
236 354 677
236 441 153
236 445 1660
237 243 1342
237 309 1442
237 427 224
237 489 1797
238 493 336
240 288 286
240 305 505
241 419 1177
242 264 48
242 267 1958
242 302 551
242 345 232
242 407 1916
242 419 802
243 485 766
244 277 721
244 279 1796
244 315 619
245 321 865
245 363 123
245 454 352
246 360 292
246 372 234
246 426 1968
246 439 1040
247 300 1533
247 387 188
247 433 1499
248 260 1480
248 277 866
248 316 741
248 468 930
249 293 1879
249 350 295
249 466 1838
250 392 1116
252 428 1750
252 461 685
254 458 431
255 261 1119
255 435 972
255 472 1683
256 421 324
257 282 763
258 278 1035
258 307 111
258 332 1832
259 293 718
259 417 62
259 448 1825
261 442 1820
261 466 603
261 478 1378
262 391 316
262 469 202
264 421 1772
264 482 1867
265 384 1479
267 278 1723
267 290 1552
268 385 533
268 447 865
268 487 1400
270 291 1259
271 308 761
273 301 1480
273 480 1252
274 344 528
274 443 553
275 480 1995
277 293 25
277 381 217
278 358 437
278 416 374
278 434 850
279 292 263
280 437 1827
281 359 1120
281 378 1716
281 435 118
281 493 1584
282 308 742
282 360 220
282 478 157
283 412 1537
283 480 1167
285 289 488
285 374 1999
285 473 903
286 293 1030
286 365 1675
287 338 88
287 410 527
288 368 477
288 378 665
288 495 1429
289 356 10
290 332 1938
291 413 1007
292 325 573
294 361 754
295 365 923
295 377 690
296 341 1161
296 370 398
296 450 1208
296 475 937
297 318 696
297 333 1428
297 410 395
298 352 751
299 346 1164
300 341 1983
300 376 1316
302 340 1734
302 353 493
303 323 1781
304 359 1900
304 423 351
305 317 403
305 353 1458
306 333 753
306 381 640
306 454 601
308 466 37
309 318 1563
309 412 697
309 417 1097
310 370 1616
310 414 1515
310 436 1089
311 329 914
311 453 1474
313 345 1104
313 362 1763
313 391 582
313 403 1099
313 448 1399
314 386 805
315 364 820
315 387 536
315 497 1498
316 324 1997
318 499 1297
319 468 913
319 492 1715
320 369 1574
321 370 193
321 376 928
321 468 1882
322 435 1333
329 447 633
330 344 1561
330 404 1650
330 421 442
332 425 1240
333 394 764
335 396 1404
335 449 989
338 364 103
338 486 352
339 434 247
339 478 1045
340 419 473
340 466 1526
341 349 12
342 498 709
343 368 1153
343 406 249
344 370 1227
345 451 1587
346 372 1907
347 359 1042
347 444 701
347 471 9
349 387 1675
350 428 1605
351 366 1472
351 434 1582
353 355 1505
353 379 842
353 385 1347
353 401 1855
354 356 835
354 421 1889
354 464 583
354 488 1334
355 364 1692
356 388 1586
356 483 1617
358 447 914
359 372 132
361 372 1379
361 455 977
363 436 854
363 470 1324
364 489 639
365 394 1085
365 441 1595
366 422 431
367 401 234
368 481 137
370 452 1387
371 476 410
372 382 100
373 433 606
374 400 731
374 419 539
375 398 1572
375 447 1117
375 464 1002
377 425 1916
377 454 1707
379 469 97
380 446 1785
380 457 69
381 421 1973
381 455 1670
383 449 1779
385 390 391
386 445 1974
388 499 1983
389 453 1117
390 410 288
391 443 807
393 441 1062
393 499 894
394 490 1062
395 418 757
397 431 1630
398 452 1698
398 455 349
398 468 1036
402 429 144
406 446 794
407 456 178
408 419 105
409 460 271
418 442 1618
418 452 1726
420 439 1140
420 449 879
421 484 1047
423 439 1139
425 489 738
426 441 907
427 432 1985
429 447 685
430 445 1466
439 458 1192
440 448 185
440 476 1998
441 454 1453
445 474 1881
451 462 407
451 475 323
453 488 1445
454 499 1655
459 466 637
463 500 500
465 473 368
469 479 782
475 482 801
477 488 151
488 498 1227
1210 1281 59 1411 961 577 1071 394 1732 1582 1823 1195 844 361 18 1875 151 1633 1305 266 1195 1250 1807 62 1360 552 986 1139 1334 852 580 966 1641 1521 1118 1303 1358 1811 441 1163 1255 512 102 345 1875 13 774 1231 361 1801 1461 549 818 1931 896 1825 150 449 751 1483 860 1588 992 1215 1568 45 697 444 411 1043 890 137 389 1053 1173 846 997 576 1199 348 25 1593 655 1031 1324 762 602 451 164 1243 200 594 931 1199 1200 179 270 1351 1245 1248 868 1491 1501 1177 1518 1388 1577 1139 29 259 234 70 1737 851 1363 1468 605 1455 1849 1083 1666 554 1008 730 169 953 1337 1271 1233 413 1665 1041 843 5 1372 396 739 1033 592 1942 1675 272 1805 126 1349 1801 582 1010 114 674 606 427 259 572 6 443 1834 1986 1654 311 1346 923 1714 841 505 31 1008 857 489 1017 277 1923 1631 687 466 471 311 947 907 277 1715 1854 664 1963 67 1247 1631 784 881 1497 1809 697 1360 1409 77 1322 934 640 1217 711 1858 645 272 198 625 1218 882 1240 1118 1834 1187 151 1946 317 1823 1688 1403 487 1817 476 699 610 1692 792 1132 242 1664 1479 1759 1151 1418 1902 1223 884 731 1436 1012 778 1155 724 348 1569 941 1931 901 1517 1243 261 1556 1578 1873 1216 1262 800 174 1267 1068 1860 364 471 1433 1535 1913 611 1326 1480 1661 1750 332 582 697 1823 1521 1169 1783 1502 1606 811 1527 622 1217 260 1520 641 1325 943 1347 429 1860 1873 982 1055 1369 511 1840 1813 442 818 1164 483 1308 1165 1651 1315 914 963 843 1574 719 1194 464 1088 1267 951 1195 728 1083 674 1473 497 1441 5 1377 383 1312 16 809 696 1307 1615 1798 1644 98 607 483 1749 1117 677 583 740 1122 1772 1307 220 1728 871 1863 1636 457 393 733 755 741 1247 275 1772 609 1468 170 750 652 1408 670 258 1439 310 620 264 1308 633 1604 369 285 449 1230 232 616 888 1613 591 660 568 499 371 374 1222 888 1749 1454 572 61 1402 324 122 147 1963 339 1689 934 130 825 520 742 920 1372 112 570 770 1134 1648 520 1574 835 906 1558 1016 1698 1496 1751 1529 551 995 1280 35 1301 135 1653 1902 793 636 1627 1002 1869 1336 631 1545 1781 1314 318 763 388 496 625 1594 1557 1632 1177 810 93 950 1586 1508 640 1339 621 646 415 294 1039 21 208 1428 1779 1932 1535 12 241 927 1421 1249 1982 1320 20 146 126 156 1675 1753 91 995 904 1086 372 486 1696 823 44 1387 1027 1831 223 520 552 1626 1617 170 1035 941 768 1082
1097 304 1443 1861 1858 641 1040 537 1637 284 462 1062 1642 1403 669 1050 1012 1087 883 209 1560 428 833 65 1816 1252 1771 706 1716 196 488 662 375 1927 1501 33 907 938 1370 1584 1502 887 671 679 1330 1335 993 758 393 1283 1765 24 638 1653 518 1187 1806 1690 1050 1262 1687 1888 1735 1296 860 1389 1942 1735 1532 177 6 826 1997 251 1617 1251 1739 479 544 55 7 990 611 1431 1905 844 465 1918 1382 195 1807 247 38 1513 1765 236 1238 1471 1622 1086 1760 336 844 1576 1098 1776 295 789 885 665 982 1222 1189 1788 1339 577 1049 445 1775 702 1086 47 1382 745 1979 1111 1073 30 645 1112 142 111 205 943 539 76 488 1409 883 976 1407 1452 865 855 153 233 1409 1564 1231 293 975 931 1872 1676 309 794 494 46 1320 1567 1606 236 1119 1362 394 1729 964 1504 1421 1622 328 610 1170 721 726 290 1007 661 572 1196 478 875 429 775 894 22 615 419 1125 179 927 1360 1112 1100 1346 1564 1315 1905 632 931 75 296 1810 1833 452 688 171 499 872 1529 1769 632 1857 245 1525 1009 351 804 499 1129 1925 1830 1963 936 1336 1416 284 1026 277 1314 1871 394 1768 1479 796 1202 487 1014 1719 724 1971 1849 112 1563 696 25 1838 1219 448 1014 971 518 979 1339 1621 1382 484 1527 1603 314 243 960 270 1758 1264 1119 717 791 1983 408 1569 658 1981 207 1679 1178 507 1278 890 1377 1906 960 160 1308 348 920 614 1034 791 788 1240 785 1213 1810 828 1473 456 1335 1843 1665 1317 1539 789 1406 904 254 637 1365 730 1402 1424 1530 269 364 1983 1382 1260 1632 1565 513 244 1785 1629 1452 1709 353 384 82 1987 1766 1795 826 172 1456 327 1448 982 1309 1601 512 1629 852 1665 110 1138 339 1484 688 1267 1067 1669 1826 1923 1458 457 1120 775 1922 28 1050 1482 51 1883 735 326 1499 122 1797 1131 83 998 1780 1419 256 1984 1569 1965 497 1190 153 736 935 621 527 1549 1678 218 1760 1007 991 433 1334 108 685 1613 1831 72 1313 70 528 1978 323 1370 212 493 624 1880 232 518 1476 1095 1557 182 423 1923 1536 84 1749 635 1830 1134 1112 1489 651 383 1549 7 223 1675 1629 1538 1961 836 1040 456 913 1356 592 68 1056 1441 1422 1012 1740 1249 1576 1725 1732 469 1616 1813 960 1860 1646 1739 578 1030 1457 425 1217 595 311 1422 441 1352 1292 778 500 835 347 413 221 468 92 1496 1341 170 990 1239 1668 156 530 961 232 1795 1108 180 202 1306 1286 878 1051 339 338 1917 830 1889 1045 1988 1560
700
186342
60999
362512
344170
112228
479729
62684
277244
210208
24922
197523
126772
546630
142619
558033
493512
420263
524436
350350
251520
566341
516973
288871
190140
541879
89585
541732
14188
604481
551040
180494
510803
64566
10260
108755
22349
580689
6337
587780
219449
504908
547243
465830
584036
6128
153952
237677
158726
148628
182008
343487
412108
546566
502619
400127
555766
97396
94855
423239
176511
524354
21135
330596
82452
114569
505151
464934
60297
223365
595998
351018
193421
558440
149907
517117
208201
13028
568410
495184
462597
518951
566898
78657
372250
484036
57211
184166
197100
178738
235552
360851
527233
319453
121601
32143
446435
114077
3089
336914
297566
187223
604431
188509
543827
336151
98875
131029
472741
205636
426739
126343
473105
332504
418168
498437
438301
52537
487537
374759
408070
326626
48417
550141
145261
479740
127026
273192
231659
505162
434813
156746
478581
240451
469724
606819
300149
542716
589885
16977
605364
226758
343182
242091
154183
439180
357248
264448
358605
547706
545326
252318
303862
547471
164871
170999
442698
372817
64259
158295
553858
370636
516338
366012
63480
21696
386954
350094
75588
512716
423447
337458
52185
499270
492579
516683
362306
231410
247226
421052
404761
166020
37839
342906
595294
531615
466988
451661
113500
216787
235384
51369
434445
142490
5974
60842
305140
360669
295370
609979
524171
134569
277252
74618
291890
32033
119547
247711
101811
2893
84504
145106
421194
576623
516188
155914
543019
339771
434819
41426
246862
114278
396064
193257
449101
57547
1716
12521
169774
329842
528494
76180
150445
545390
9135
596204
279636
110358
325950
205029
409078
64074
559802
61419
295565
410033
449614
387342
169274
71788
440780
153026
47071
340029
269308
208309
67998
313580
233013
430854
128055
55036
575751
42341
604597
415552
315259
213321
433517
324220
543081
318218
434841
250581
343854
313729
133034
19411
469736
429370
506773
561155
518991
256296
301242
116640
570813
447078
522523
400845
511272
148542
611332
245062
500335
23201
113182
233871
1954
175360
452491
492531
565940
125396
133595
178851
343912
29711
170531
509447
402251
592317
252778
603612
538912
239891
226462
112024
266496
129739
58750
235366
447775
397481
170149
422117
174904
497257
138715
506938
541767
558041
501946
181143
154089
6632
231711
508815
407476
544090
608059
115404
388510
441945
43298
531330
285182
209739
540956
266908
488652
453089
501961
297245
610124
437075
460277
240295
596932
362698
291666
470332
209570
493371
215761
207028
2001
49509
108210
271716
151747
67510
313133
485412
451056
535815
202616
137619
541012
73254
490571
129010
51294
417262
275001
611722
159467
99953
437539
545564
555513
478062
266492
523198
583714
521705
522750
256215
263659
25015
417722
497989
128845
392918
592295
551969
337472
467007
73359
107709
419065
134774
45043
93411
301174
499950
408908
547603
195560
284467
334992
137660
611741
365172
377108
142467
303108
429093
305964
482861
259945
528565
529106
594112
64680
136473
293756
272767
114921
192176
273115
124080
334348
333158
530800
219279
32232
76542
137885
453305
576067
561529
581143
26766
298560
44166
322016
34576
328747
392873
313299
42404
186327
500916
234832
300683
220187
247940
279029
603331
445335
318888
316644
176367
86570
102524
16092
466787
155281
583319
29307
342132
581140
227645
156044
506866
419807
419847
217074
374258
429718
269776
361535
96264
116660
74626
510620
533536
468551
168132
383444
493539
610802
222730
295241
280579
389642
480521
333522
28277
382701
288329
226848
68934
462959
148902
462209
110772
283061
292608
251538
152548
295489
331303
182466
404765
601078
193849
93635
345848
589484
130185
146150
306882
323490
435080
296961
535298
30717
560028
582053
413698
290823
247139
386045
122082
282841
594309
420925
322623
222340
412668
551495
498296
464443
499903
29584
196535
425892
323180
254037
151252
353688
391520
133661
612089
252245
596349
462419
268079
489340
109200
258554
324458
452182
552257
39734
105061
558088
562201
592100
69772
173562
136788
55249
167737
381320
558304
79229
202566
470418
586001
325545
612060
3240
258181
565102
95750
53318
432228
116019
188610
527379
440875
425528
514549
581730
11617
445221
4135
204463
346858
400239
291073
456232
549382
155313
93842
433758
358788
301213
570980
567641
216136
446217
216829
77839
474554
361384
470565
605571
573079
376915
487063
138756
74358
53679
370917
588361
7436
376093
539518
106055
209122
184395
422598
188724
84520
364604
402116
237928
72892
11876
97040
298905
199989
316693
402108
184373
105314
267133
609952
67443
451077
309531
303979
456642
269847
403051
79793
379197
39411
220595
153407
214774
9796
479508
592850
325897
390549
185795
430802
452181
49949
548625
438924
127023
279967
238205
79713
467053
438871
506823
331195
236254
145014
295133
541788
170845
73353
310261
